Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
biomass,1,69.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conventional_hydroelectric,1,468.0,0.0,0.0,468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conventional_steam_coal,1,6722.0,0.0,0.0,6722.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conventional_steam_coal_1,1,698.0,0.0,0.0,698.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conventional_steam_coal_2,1,6335.0,0.0,0.0,6335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conventional_steam_coal_3,1,652.0,0.0,0.0,652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combined_cycle,1,780.0,0.0,0.0,780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combined_cycle_1,1,2121.0,0.0,0.0,2121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combined_cycle_2,1,4644.0,0.0,0.0,4644.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combined_cycle_3,1,746.0,0.0,0.0,746.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combined_cycle_4,1,704.0,0.0,0.0,704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combined_cycle_5,1,4029.0,0.0,0.0,4029.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combined_cycle_6,1,1740.0,0.0,0.0,1740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combined_cycle_7,1,1031.0,0.0,0.0,1031.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combined_cycle_8,1,8056.0,0.0,0.0,8056.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combined_cycle_9,1,532.0,0.0,0.0,532.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combined_cycle_10,1,237.0,0.0,0.0,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combined_cycle_11,1,1188.0,0.0,0.0,1188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combined_cycle_12,1,1026.0,0.0,0.0,1026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combined_cycle_13,1,7481.0,0.0,0.0,7481.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combined_cycle_14,1,824.0,0.0,0.0,824.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine,1,741.0,0.0,0.0,741.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine_1,1,1073.0,0.0,0.0,1073.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine_2,1,81.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine_3,1,180.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine_4,1,91.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine_5,1,13.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine_6,1,354.0,0.0,0.0,354.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine_7,1,557.0,0.0,0.0,557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine_8,1,1539.0,0.0,0.0,1539.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine_9,1,846.0,0.0,0.0,846.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine_10,1,336.0,0.0,0.0,336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine_11,1,208.0,0.0,0.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine_12,1,547.0,0.0,0.0,547.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine_13,1,41.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine_14,1,276.0,0.0,0.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine_15,1,84.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_steam_turbine,1,825.0,0.0,0.0,825.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_steam_turbine_1,1,521.0,0.0,0.0,521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_steam_turbine_2,1,18.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_steam_turbine_3,1,1326.0,0.0,0.0,1326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_steam_turbine_4,1,167.0,0.0,0.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_steam_turbine_5,1,171.0,0.0,0.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_steam_turbine_6,1,2160.0,0.0,0.0,2160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_steam_turbine_7,1,1265.0,0.0,0.0,1265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_steam_turbine_8,1,844.0,0.0,0.0,844.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_steam_turbine_9,1,421.0,0.0,0.0,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_steam_turbine_10,1,248.0,0.0,0.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_steam_turbine_11,1,392.0,0.0,0.0,392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_steam_turbine_12,1,61.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_steam_turbine_13,1,1461.0,0.0,0.0,1461.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
